_id,OCC_DATE,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN,geometry
435140,1576645200000,December,Wednesday,2019,9,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.25881393594842,43.789644067640666,YES,NO,NO,NO,NO,"{""coordinates"": [[324210.89262694307, 4849992.909581714]], ""type"": ""MultiPoint""}"
159533,1465099200000,June,Sunday,2016,2,D55,,NO,NO,YES,063,The Beaches (63),-79.30579163596954,43.66875560841342,YES,NO,NO,NO,NO,"{""coordinates"": [[320461.54794184293, 4836552.759336603]], ""type"": ""MultiPoint""}"
674215,1714104000000,April,Friday,2024,16,D13,,NO,NO,YES,092,Corso Italia-Davenport (92),-79.43463532670748,43.67428802454012,YES,NO,NO,NO,NO,"{""coordinates"": [[310070.71966930217, 4837151.13015205]], ""type"": ""MultiPoint""}"
676063,1714968000000,May,Monday,2024,5,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
28534,1402372800000,June,Tuesday,2014,11,D42,,NO,YES,NO,146,Malvern East (146),-79.23553278096244,43.78986128852634,YES,NO,NO,NO,NO,"{""coordinates"": [[326084.50644908135, 4850022.763768314]], ""type"": ""MultiPoint""}"
388969,1558756800000,May,Saturday,2019,10,D55,,NO,NO,YES,062,East End-Danforth (62),-79.30115804677132,43.67815382808482,YES,NO,NO,NO,NO,"{""coordinates"": [[320832.7124111102, 4837597.737599991]], ""type"": ""MultiPoint""}"
652322,1703653200000,December,Wednesday,2023,8,D42,,NO,NO,YES,130,Milliken (130),-79.26208484160144,43.82011271080849,YES,NO,NO,NO,NO,"{""coordinates"": [[323937.9172512834, 4853377.133853081]], ""type"": ""MultiPoint""}"
749527,1748232000000,May,Monday,2025,14,D55,,NO,YES,NO,043,Victoria Village (43),-79.31351755028754,43.72597194526696,YES,NO,NO,NO,NO,"{""coordinates"": [[319824.21409300267, 4842907.793502524]], ""type"": ""MultiPoint""}"
320367,1533096000000,August,Wednesday,2018,19,D14,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
645362,1700629200000,November,Wednesday,2023,10,D31,,NO,NO,YES,155,Downsview (155),-79.48386925173135,43.7343687543943,YES,NO,NO,NO,NO,"{""coordinates"": [[306099.4141624366, 4843823.870658915]], ""type"": ""MultiPoint""}"
423907,1572494400000,October,Thursday,2019,23,D14,,NO,NO,YES,164,Wellington Place (164),-79.40111063296169,43.64696528643929,YES,NO,YES,NO,NO,"{""coordinates"": [[312777.62050884916, 4834118.399518663]], ""type"": ""MultiPoint""}"
318328,1532232000000,July,Sunday,2018,8,D55,,NO,NO,YES,058,Old East York (58),-79.33636392953336,43.69760630194127,YES,NO,NO,NO,NO,"{""coordinates"": [[317989.78327928984, 4839752.6101791235]], ""type"": ""MultiPoint""}"
266534,1511326800000,November,Wednesday,2017,17,D43,,NO,NO,YES,142,Woburn North (142),-79.2338520249659,43.78178169646291,YES,NO,NO,NO,NO,"{""coordinates"": [[326222.66013100295, 4849125.57865253]], ""type"": ""MultiPoint""}"
583184,1671426000000,December,Monday,2022,19,D13,,NO,NO,YES,031,Yorkdale-Glen Park (31),-79.46636264900347,43.710490354080704,YES,NO,YES,NO,NO,"{""coordinates"": [[307510.73690462165, 4841171.506179607]], ""type"": ""MultiPoint""}"
209540,1487134800000,February,Wednesday,2017,14,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
530098,1643259600000,January,Thursday,2022,6,D31,,NO,NO,YES,027,York University Heights (27),-79.52139740958275,43.77323597873821,YES,NO,NO,NO,NO,"{""coordinates"": [[303077.4445044481, 4848141.972599643]], ""type"": ""MultiPoint""}"
147957,1459656000000,April,Sunday,2016,20,D12,,NO,NO,YES,115,Mount Dennis (115),-79.49903607470188,43.69053997717294,YES,NO,NO,NO,NO,"{""coordinates"": [[304877.7056915531, 4838954.563952378]], ""type"": ""MultiPoint""}"
474552,1603252800000,October,Wednesday,2020,0,D42,1.0,NO,NO,NO,128,Agincourt South-Malvern West (128),-79.28826359326524,43.78328933857188,YES,NO,NO,NO,NO,"{""coordinates"": [[321842.5599959295, 4849280.435498282]], ""type"": ""MultiPoint""}"
714057,1731733200000,November,Saturday,2024,17,D42,1.0,NO,NO,NO,118,Tam O'Shanter-Sullivan (118),-79.29346258821549,43.78211963627784,YES,NO,NO,NO,YES,"{""coordinates"": [[321424.41947277973, 4849149.428199261]], ""type"": ""MultiPoint""}"
276666,1515042000000,January,Thursday,2018,19,D22,,NO,NO,YES,159,Etobicoke City Centre (159),-79.55639298617189,43.60894710388748,YES,NO,NO,NO,NO,"{""coordinates"": [[300247.7868883839, 4829891.605975311]], ""type"": ""MultiPoint""}"
282599,1517288400000,January,Tuesday,2018,9,D13,,NO,NO,YES,094,Wychwood (94),-79.43316532640213,43.67071132087026,YES,NO,NO,NO,NO,"{""coordinates"": [[310189.5741531436, 4836753.871574579]], ""type"": ""MultiPoint""}"
355491,1546491600000,January,Thursday,2019,11,D11,,NO,NO,YES,087,High Park-Swansea (87),-79.45130081635324,43.63933679198577,YES,NO,NO,NO,NO,"{""coordinates"": [[308729.1662581571, 4833267.3189573055]], ""type"": ""MultiPoint""}"
54944,1415509200000,November,Sunday,2014,16,D33,,NO,NO,YES,150,Fenside-Parkwoods (150),-79.31826067182432,43.76449122230029,YES,NO,NO,NO,NO,"{""coordinates"": [[319432.6921893329, 4847186.289408988]], ""type"": ""MultiPoint""}"
36500,1406347200000,July,Saturday,2014,2,D52,,NO,NO,YES,170,Yonge-Bay Corridor (170),-79.38479944103877,43.64765438675804,YES,NO,NO,NO,NO,"{""coordinates"": [[314093.373715097, 4834196.651506832]], ""type"": ""MultiPoint""}"
396108,1561435200000,June,Tuesday,2019,12,D53,,YES,NO,NO,100,Yonge-Eglinton (100),-79.4111174243955,43.71034088109361,YES,NO,NO,NO,NO,"{""coordinates"": [[311962.8078439345, 4841158.189692709]], ""type"": ""MultiPoint""}"
748823,1747886400000,May,Thursday,2025,12,D41,,NO,NO,YES,126,Dorset Park (126),-79.2650480375227,43.75147976975537,YES,NO,NO,NO,NO,"{""coordinates"": [[323721.19345595804, 4845751.539576949]], ""type"": ""MultiPoint""}"
272769,1513659600000,December,Tuesday,2017,17,D22,,NO,NO,YES,010,Princess-Rosethorn (10),-79.56223990232871,43.67241691951594,YES,NO,NO,NO,NO,"{""coordinates"": [[299781.0921916788, 4836943.066435924]], ""type"": ""MultiPoint""}"
514979,1634616000000,October,Tuesday,2021,19,D43,,NO,NO,YES,133,Centennial Scarborough (133),-79.15637742459678,43.77513178489447,YES,NO,NO,NO,NO,"{""coordinates"": [[332461.77841028513, 4848409.754598636]], ""type"": ""MultiPoint""}"
653859,1704517200000,January,Saturday,2024,18,D55,,NO,NO,YES,121,Oakridge (121),-79.29047506336607,43.69652971652109,YES,NO,NO,NO,NO,"{""coordinates"": [[321688.9296157719, 4839641.328095393]], ""type"": ""MultiPoint""}"
701732,1726372800000,September,Sunday,2024,0,D43,1.0,NO,NO,NO,138,Eglinton East (138),-79.24504965472796,43.74322197778454,YES,NO,NO,NO,YES,"{""coordinates"": [[325334.5300688743, 4844838.891271674]], ""type"": ""MultiPoint""}"
588596,1674277200000,January,Saturday,2023,20,D12,,NO,NO,YES,091,Weston-Pelham Park (91),-79.46480220972082,43.67840351971736,YES,NO,NO,NO,NO,"{""coordinates"": [[307638.0009517455, 4837606.8661605315]], ""type"": ""MultiPoint""}"
315170,1530936000000,July,Saturday,2018,19,D41,,NO,NO,YES,122,Birchcliffe-Cliffside (122),-79.2792332617114,43.68227614153216,YES,NO,NO,NO,NO,"{""coordinates"": [[322599.29898174957, 4838060.176310822]], ""type"": ""MultiPoint""}"
